gene_id,logFC,unshrunk.logFC,logCPM,PValue,FDR,BH,BY,bf
LMNA,-0.99018533633491,-0.990188710919958,8.63708244546029,0.0018324759847021,0.0160633141032773,0.0160633141032773,0.163894065739729,1
LINC00174,-0.852273057099832,-0.852787049453885,1.3527238623517,0.0018325041832112,0.0160633141032773,0.0160633141032773,0.163894065739729,1
COL15A1,0.95954410147426,0.960583973422196,-0.316929487371088,0.00183323234881626,0.0160633141032773,0.0160633141032773,0.163894065739729,1
POLE3,-0.738526718276915,-0.738545482335588,5.71891640276654,0.00183757806081906,0.0160920853302941,0.0160920853302941,0.164187618697841,1
RP11-286N22.8,-0.728732671315203,-0.728762587261973,4.89169607389435,0.00183941016590335,0.0160988238090328,0.0160988238090328,0.164256371426592,1
STAU2,-0.971949329996466,-0.971954415937328,8.1672811415471,0.00184209558726301,0.0161087779193706,0.0161087779193706,0.164357933258951,1
BRD9,0.603288846013259,0.603346357447546,3.00227192833365,0.00184350010604402,0.0161087779193706,0.0161087779193706,0.164357933258951,1
QTRT2,0.983432327167049,0.983645703186476,1.66211914560516,0.00184379212294765,0.0161087779193706,0.0161087779193706,0.164357933258951,1
P2RX1,-1.06872205917007,-1.06873121878051,7.34840194738411,0.00184480063961108,0.0161087779193706,0.0161087779193706,0.164357933258951,1
CPQ,-0.835331746783263,-0.835362162160242,5.24897453790724,0.00184686129745642,0.0161174819449682,0.0161174819449682,0.164446740471107,1
ZC3H12A,0.882262180957798,0.882486819002457,1.46344156690382,0.00185165515040725,0.016150014696989,0.016150014696989,0.164778672285682,1
FCER1G,-0.97834307018348,-0.978345555518725,9.12365497883196,0.00185734489711167,0.0161788826479547,0.0161788826479547,0.165073212118678,1
LRRFIP2,-1.03393674875309,-1.03394504401867,7.44823308440293,0.0018580894385418,0.0161788826479547,0.0161788826479547,0.165073212118678,1
TRAPPC9,-0.827319150814123,-0.827325239979819,7.55162070006226,0.00185816870016113,0.0161788826479547,0.0161788826479547,0.165073212118678,1
ZFP82,0.808558419943263,0.809239275229704,0.0813976455163006,0.0018612770719702,0.0161871328853231,0.0161871328853231,0.165157389327499,1
DMWD,-0.72137401843712,-0.721428227482184,4.02323789598228,0.00186276745969662,0.0161871328853231,0.0161871328853231,0.165157389327499,1
ENAH,0.80542856797265,0.80552241520331,2.80509284119513,0.00186330515493471,0.0161871328853231,0.0161871328853231,0.165157389327499,1
SLC35B2,0.769515747604753,0.769940841701115,0.493822239835131,0.00186367776386482,0.0161871328853231,0.0161871328853231,0.165157389327499,1
AMOT,0.596621505748814,0.59675041133774,1.95549215124723,0.00186445854025669,0.0161871328853231,0.0161871328853231,0.165157389327499,1
HMGB1,-0.857821833075125,-0.857823011233836,10.1223902875206,0.00186595784677169,0.016190871350854,0.016190871350854,0.165195532908055,1
MSN,-0.727641048990309,-0.727641732552025,10.2054930817141,0.0018686253751849,0.016196750489063,0.016196750489063,0.165255517781532,1
NAALADL2,-1.00867590283497,-1.00886404756152,3.17559363180102,0.001868773587781,0.016196750489063,0.016196750489063,0.165255517781532,1
HEMK1,0.7787155140386,0.779077643213525,0.694173404128619,0.00187279980239956,0.0162223653552621,0.0162223653552621,0.165516866376085,1
KLHL6,-0.810765065651637,-0.810775609075369,6.70572211073222,0.00187440541346994,0.0162259620065841,0.0162259620065841,0.165553563025632,1
